,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
48,0.65,0.5,0.5,0.5,0.5,0.523703697,0.569263949,0.563264874,0.555356722,0.777811257,0.671658101
49,0.3,0.5,0.5,0.5,0.5,0.620272657,0.511396417,0.72185916,0.533868704,0.867527217,0.667368302
50,0.45,0.5,0.5,0.5,0.5,0.569181549,0.508125426,0.661591712,0.559849075,0.76852545,0.572506361
51,0.45,0.5,0.5,0.5,0.5,0.515376882,0.505281403,0.561771802,0.539128652,0.787639155,0.585280269
52,0.2,0.956186429,0.502963878,0.5,0.5,0.504015839,0.596069816,0.805807003,0.537979661,0.721920097,0.553186296
53,0.3,0.5,0.5,0.5,0.5,0.56122559,0.546587553,0.692424815,0.565978308,0.98716225,0.666441517
54,0.35,0.5,0.5,1,0.485450486,0.537187492,0.526209537,0.687819626,0.527102164,0.912047727,0.619397272
55,0.25,0.963811544,0.487028145,1,0.51210011,0.555815528,0.558603221,0.999427918,0.563959658,0.810962749,0.552457572
56,0.2,0.984995531,0.500949668,0.5,0.5,0.520002586,0.534576493,0.989528201,0.523232559,0.528442905,0.509900056
57,0.3,0.85867998,0.508531066,1,0.46434883,0.519912707,0.574975052,0.642924402,0.56254823,0.513547417,0.586036455
58,0.55,0.962721227,0.519525776,1,0.506074882,0.505508058,0.655637559,0.510975151,0.658442058,0.554201978,0.654659546
59,0.4,0.961281209,0.519415381,1,0.520395403,0.528898147,0.520437344,0.6387012,0.527658416,0.641483786,0.551090136
60,0.2,0.986069815,0.493803468,1,0.528230921,0.505834022,0.604330065,0.501923895,0.601666667,0.912435078,0.663741147
61,0.35,0.581480076,0.519718182,1,0.455672645,0.544724264,0.662806605,0.536546329,0.653308291,0.903520778,0.688594425
62,0.4,0.979921848,0.489711065,1,0.538429714,0.528479715,0.504118411,0.998737065,0.510408399,0.974021048,0.544847528
63,0.35,0.5,0.5,0.5,0.5,0.499943205,0.702,0.505908986,0.700717949,0.606153218,0.730551535
64,0.55,0.5,0.5,1,0.526515152,0.501204935,0.551923077,0.740370163,0.582086892,0.690904532,0.558682066
65,0.45,0.964454753,0.517999793,1,0.484587252,0.501730689,0.505482456,0.559176046,0.537455529,0.845100257,0.579827764
66,0.3,0.587438594,0.520534451,1,0.477409932,0.512320831,0.566402709,0.941370783,0.558520942,0.865822843,0.60707848
67,0.2,0.5,0.5,0.5,0.5,0.508349703,0.533323265,0.636330451,0.554548791,0.874793261,0.559827126
68,0.35,0.975387114,0.482569155,0.51007109,0.498876404,0.524759482,0.559743501,0.560389654,0.573535699,0.824451822,0.623257447
69,0.5,0.981514243,0.482341796,1,0.465594731,0.514998681,0.6021875,0.518965976,0.600454071,0.602711678,0.631156891
70,0.5,0.986203684,0.522412156,0.5,0.5,0.5,0.55,0.534683599,0.571220374,0.978033378,0.619478758
71,0.6,0.979378792,0.497252476,0.5,0.5,0.693069553,0.599345015,0.811073997,0.581403125,0.81279093,0.633124319
72,0.45,0.5,0.5,1,0.48361542,0.526620064,0.552884615,0.780195454,0.56220915,0.701868722,0.644779682
73,0.2,0.977507188,0.486731926,1,0.502477142,0.524956225,0.632951722,0.798571143,0.579052895,0.952328329,0.622058996
74,0.6,0.5,0.5,1,0.45599376,0.592489036,0.574902382,1,0.556133682,0.937803704,0.549163555
75,0.25,0.5,0.5,1,0.504322268,0.537452389,0.65627207,0.50548609,0.653673246,0.977486581,0.683267464
76,0.25,0.5,0.5,0.5,0.5,0.565938191,0.531635562,1,0.527430269,0.771313967,0.655490126
77,0.25,0.977475179,0.505741627,0.5,0.5,0.52723076,0.57962773,0.992716636,0.554228952,0.849095014,0.648290046
78,0.6,0.5,0.5,1,0.505522646,0.698014285,0.638357417,0.552615683,0.606755333,0.952843066,0.691004507
79,0.4,0.5,0.5,0.5,0.5,0.504238763,0.558333333,0.71373638,0.5672181,0.968418316,0.654384271
