,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
54,0.75,0.792221096,0.744346297,0.92073614,0.837605042,0.755117915,0.811882616,0.748999088,0.7608841,0.921301544,0.918271351
55,0.75,0.809692937,0.750481582,0.9749699,0.901384246,0.899333208,0.791703631,0.850749756,0.754436056,0.926589603,0.935555198
56,0.8,0.814724324,0.782860174,0.964103404,0.859753327,0.798160703,0.829919602,0.861551132,0.78135158,0.972669354,0.914486254
57,0.8,0.78059895,0.746922025,0.969288137,0.835064036,0.86040865,0.80087609,0.705775758,0.783903181,0.965275822,0.885743438
58,0.8,0.795338411,0.698938755,0.967779988,0.807523648,0.762672576,0.808637208,0.846942954,0.736466908,0.960066999,0.921256127
59,0.85,0.786185998,0.756642756,0.96742587,0.874716001,0.822318438,0.829585679,0.769040885,0.756095855,0.896507837,0.900356752
60,0.8,0.810607513,0.736361023,0.925681567,0.892885909,0.771365099,0.805713699,0.860540023,0.742542134,0.858637248,0.897309678
61,0.85,0.803821361,0.766568483,0.96630806,0.861395701,0.845861102,0.796851977,0.795984526,0.745202098,0.875603464,0.884651432
62,0.8,0.739423506,0.726794258,0.947556388,0.819705136,0.780087542,0.78260104,0.891094551,0.727284363,0.997662617,0.855893695
63,0.85,0.794444325,0.742057709,0.966989979,0.839929982,0.756477312,0.815594546,0.733546942,0.748703793,0.897347843,0.899224795
64,0.85,0.769334352,0.723569024,0.893336585,0.843287037,0.818736882,0.776156983,0.792631818,0.751935546,0.890852543,0.788316384
65,0.85,0.78378976,0.737400294,1,0.784979409,0.818468939,0.814363415,0.783925315,0.743724131,0.932646428,0.887179355
66,0.9,0.826716795,0.758133971,0.939167102,0.866927593,0.892338143,0.789042114,0.835408033,0.76225221,0.975225024,0.889701304
67,0.9,0.833273752,0.778355573,1,0.848608035,0.814678147,0.832180251,0.855474579,0.788774953,0.988729494,0.923498199
68,0.9,0.804,0.792613636,0.971745318,0.817674818,0.835464124,0.86119391,0.794536081,0.817451923,0.975317322,0.911806793
69,0.95,0.834519747,0.785724128,1,0.881218574,0.820396416,0.845319992,0.838540164,0.776666827,0.909210055,0.920263652
70,0.9,0.842209334,0.751566952,1,0.838104771,0.859137425,0.79955262,0.870874487,0.776504785,0.939235904,0.857146571
71,0.9,0.82587303,0.750625237,0.974386705,0.871320153,0.818559316,0.837912173,0.840000354,0.784132283,0.934825174,0.902424679
72,0.95,0.826312503,0.789510039,0.974811973,0.884755873,0.832831794,0.804379496,0.834825167,0.745207883,0.962176091,0.921692334
73,0.95,0.815389736,0.778138145,0.975375181,0.899784483,0.928278835,0.854093497,0.879987407,0.794815158,0.931233266,0.932969502
74,0.95,0.813467705,0.824300699,0.962019991,0.893608575,0.824264723,0.853441257,0.909407139,0.814193702,0.932592629,0.924248252
75,1,0.830461548,0.813726381,1,0.840093649,0.870078312,0.847244938,0.815925281,0.775677088,0.946564503,0.888073606
76,0.95,0.809023964,0.782352941,0.974254446,0.830329091,0.936775838,0.838835124,0.845792967,0.758610918,0.994015604,0.896315929
77,1,0.836864878,0.801863725,0.978905327,0.890411149,0.873066757,0.816905537,0.964514483,0.790723933,0.98808818,0.899783889
78,1,0.827309549,0.806764215,0.97064291,0.898280005,0.902568252,0.824348533,0.850958068,0.817902972,0.879730833,0.919275979
79,1,0.846534003,0.796302266,0.97615566,0.844831062,0.891807818,0.864501134,0.887577404,0.789004292,0.963071423,0.916232685
80,1.05,0.85057766,0.824274013,0.975653042,0.922746718,0.862399355,0.876158529,0.900411429,0.824974048,0.946304323,0.951763561
81,1,0.826327106,0.810416283,0.972404085,0.876516157,0.926952245,0.828953093,0.832349319,0.789542944,0.983718188,0.89968624
82,1.05,0.836762445,0.83452381,0.980669201,0.898644986,0.847428932,0.86536708,0.869233408,0.823413666,0.933439259,0.923569583
83,1.05,0.826645813,0.82124156,0.955592733,0.909363774,0.842897602,0.866089169,0.86152784,0.821020836,0.951540543,0.918539992
84,1.05,0.860334067,0.789841737,1,0.836647462,0.839332109,0.840732791,0.887658513,0.785091272,0.925044453,0.92968659
85,1.1,0.869897536,0.832363174,0.976803898,0.904716807,0.87574936,0.880158167,0.852366788,0.830510606,0.999694002,0.93635285
86,1.05,0.867060234,0.803237277,0.978913405,0.893343547,0.911963039,0.870542772,0.906189778,0.808540791,0.956403101,0.920452996
87,1.1,0.873418061,0.811474622,1,0.905741279,0.922839878,0.869205994,0.893529678,0.83983546,0.973918592,0.914304855
88,1.1,0.843890405,0.816129148,1,0.852974419,0.862053237,0.879691865,0.904871568,0.830362289,0.948345941,0.906629602
