,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
24,0.45,0.757816299,0.584710351,1,0.616018432,0.516655997,0.617708993,0.822928726,0.775075038,0.996062665,0.816664205
25,0.25,0.5,0.5,1,0.512107635,0.514062705,0.572100341,0.551984292,0.567563927,0.901919647,0.634737133
26,0.65,0.5,0.5,0.964691245,0.68456621,0.87702258,0.886519376,0.985290858,0.841681049,0.998772685,0.93630162
27,0.35,0.5,0.5,1,0.574599785,0.5,0.65,0.567034384,0.688030362,0.994260398,0.732585687
28,0.3,0.5,0.5,0.748473235,0.578225478,0.50653563,0.619540911,0.711340354,0.663095142,0.516919889,0.610189207
29,0.45,0.991362797,0.507062328,1,0.56525888,0.5,0.6,0.801871168,0.765601525,0.713395659,0.676277481
30,0.2,0.987543304,0.521521851,1,0.493255468,0.513607966,0.603097756,0.706435373,0.612745139,0.943437566,0.636604427
31,0.6,0.759381925,0.64375,0.96047989,0.708072373,0.952406531,0.897950535,0.906677134,0.826709156,0.999324792,0.954703681
32,0.5,0.5,0.5,0.5,0.5,0.530139437,0.547240709,0.962925801,0.735729711,0.988944077,0.786933178
33,0.35,1,0.48577021,1,0.585355628,0.501974262,0.554054054,0.827211311,0.660077685,0.949945121,0.672199232
34,0.3,1,0.527196488,0.5,0.5,0.515218139,0.611630699,0.826289301,0.637099484,0.956772532,0.663172739
35,0.6,0.747366062,0.581713299,0.76103384,0.66602732,0.921317859,0.865035338,1,0.83304179,0.969791672,0.935020778
36,0.55,0.5,0.5,1,0.655520041,0.503227887,0.501612903,0.916043325,0.777432041,0.989109361,0.933612651
37,0.25,0.730357631,0.540076359,0.5,0.5,0.539362083,0.595431088,0.670476458,0.598138518,0.571147746,0.576622266
38,0.25,0.989466582,0.503179994,1,0.537653663,0.526402876,0.586282296,0.498137304,0.554404521,0.902384596,0.677519277
39,0.35,0.624892407,0.559330144,0.5,0.5,0.50021946,0.556166667,0.796590344,0.66985777,0.633285132,0.568823695
40,0.65,0.794586969,0.664688361,0.896492594,0.682090018,0.986067898,0.889890563,0.99052278,0.836083214,0.97208407,0.940354082
41,0.55,0.808744589,0.616739395,1,0.705882353,0.863562093,0.830561737,0.999167687,0.829482885,0.998439648,0.939155683
42,0.65,0.669208139,0.612514669,0.767984281,0.740074836,0.893931424,0.843886814,0.977793431,0.828437169,0.985792709,0.944426429
43,0.5,0.5,0.5,1,0.644570707,0.803767518,0.800511501,0.878350615,0.780088749,0.995701667,0.838574492
44,0.55,0.5,0.5,1,0.616602545,0.501123106,0.602901967,0.977299564,0.809955846,0.974664875,0.936911671
45,0.4,0.988104001,0.536991704,0.5,0.5,0.541210904,0.524051239,0.854445638,0.692777295,0.998416995,0.862750566
46,0.4,0.5,0.5,0.748204659,0.549135945,0.566849199,0.492308746,0.843612039,0.681922473,0.983128246,0.789815105
47,0.6,0.753978019,0.646050053,1,0.691068852,0.841481843,0.87582601,0.946687656,0.829174958,0.991107799,0.962514288
48,0.7,0.754738986,0.610921178,1,0.646385606,0.924343595,0.916297166,0.99107952,0.890276982,0.998681226,0.963952365
49,0.95,0.835787598,0.681446503,1,0.815994076,0.98611898,0.950927521,0.997731486,0.907602719,0.998436783,0.977718736
50,1.05,0.867453774,0.689494716,0.972116297,0.815772463,0.998481217,0.972363389,0.989054103,0.908359429,0.993930474,0.976571702
