,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
24,0.45,0.963673814,0.494976077,1,0.534125724,0.556996922,0.660153484,0.609042585,0.66754949,0.63607799,0.701267351
25,0.45,0.5,0.5,0.5,0.5,0.556980327,0.521168975,0.578068861,0.572523155,0.714527054,0.608031876
26,0.4,0.597957852,0.554018299,0.82169886,0.597723538,0.49927866,0.502250233,0.610646292,0.539026577,0.666883609,0.643108631
27,0.45,0.5,0.5,1,0.511153846,0.507016448,0.652200193,0.514176574,0.662372579,0.984562652,0.708485956
28,0.5,0.615482143,0.486906473,1,0.54711667,0.518491871,0.592275641,0.78095793,0.58575,0.87493656,0.58620046
29,0.45,0.5,0.5,0.5,0.5,0.592707351,0.554981778,0.676160929,0.577821736,0.991816306,0.629481286
30,0.45,0.709457288,0.462897624,1,0.487718023,0.499908954,0.601315789,0.621550788,0.611523213,0.62540729,0.619053547
31,0.5,0.5,0.5,1,0.560343833,0.573154059,0.580881966,0.583521918,0.604012478,0.99390244,0.617116209
32,0.5,0.988578382,0.525451092,1,0.551411879,0.570517431,0.599474133,0.983363143,0.564439068,0.837192855,0.619219657
33,0.55,0.958123305,0.569701616,1,0.490051635,0.5,0.6,0.511021791,0.655651292,0.960448857,0.725243513
34,0.5,0.5,0.5,0.5,0.5,0.743976861,0.671913783,0.612970217,0.579175853,0.972175951,0.638530694
35,0.55,0.60696879,0.565742785,1,0.643587488,0.886794562,0.636636784,0.624192017,0.604346365,0.991376055,0.791874414
36,0.5,0.859881702,0.544836742,1,0.572566224,0.666990232,0.576988226,0.605858421,0.589582637,0.7844483,0.643982896
37,0.55,0.987403129,0.539619499,0.5,0.5,0.671109769,0.646030732,0.703671456,0.617389235,0.834881982,0.724937209
38,0.55,0.861224748,0.509048628,1,0.539526675,0.609996277,0.621490624,0.568884937,0.629005388,0.985066615,0.700496512
39,0.55,0.619962534,0.576312503,1,0.544186163,0.63398212,0.712616401,0.576032808,0.625514556,0.793704485,0.724120472
